method,num_drones,failure_prob,coverage,overlap,energy_mean,energy_std,failures,explored_row_ratio,explored_col_ratio,fitness,timesteps,grid_h,grid_w,coverage_std,overlap_std,energy_mean_std,energy_std_std,failures_std,explored_row_ratio_std,explored_col_ratio_std,fitness_std,timesteps_std,grid_h_std,grid_w_std
heuristic,1,0.0,24.9,0.8,100.0,0.0,0.0,94.0,89.0,841.6895000000001,100.0,20.0,20.0,0.13693063937629169,1.0954451150103321,0.0,0.0,0.0,13.416407864998739,17.46424919657298,65.04805915628843,0.0,0.0,0.0
heuristic,1,0.005,24.9,0.8,100.0,0.0,0.0,94.0,89.0,841.6895000000001,100.0,20.0,20.0,0.13693063937629169,1.0954451150103321,0.0,0.0,0.0,13.416407864998739,17.46424919657298,65.04805915628843,0.0,0.0,0.0
heuristic,1,0.01,23.25,0.9970149253731343,100.0,0.0,0.2,86.0,89.0,863.5645,100.0,20.0,20.0,3.7749172176353745,1.4089425752025209,0.0,0.0,0.447213595499958,19.493588689617926,17.46424919657298,49.5132558008459,0.0,0.0,0.0
heuristic,1,0.05,9.15,0.0,,,1.0,55.0,47.0,,100.0,20.0,20.0,9.30154557049526,0.0,,,0.0,34.09545424246464,35.63705936241092,,0.0,0.0,0.0
heuristic,3,0.0,70.05,13.2,100.0,0.0,0.0,100.0,100.0,1536.1895,100.0,20.0,20.0,2.4710827586303123,6.589554023014169,0.0,0.0,0.0,0.0,0.0,181.21273563288972,0.0,0.0,0.0
heuristic,3,0.005,66.65,10.360569839170907,100.0,0.0,0.8,100.0,100.0,1524.9781032165818,100.0,20.0,20.0,5.33151010502653,8.325803289546926,0.0,0.0,0.8366600265340756,0.0,0.0,198.35701782931727,0.0,0.0,0.0
heuristic,3,0.01,56.45,10.000764315050029,100.0,0.0,1.8,97.0,100.0,1311.7208971742543,100.0,20.0,20.0,9.10940448108437,9.585330799411409,0.0,0.0,0.8366600265340756,4.472135954999579,0.0,268.6519111991486,0.0,0.0,0.0
heuristic,3,0.05,14.2,0.36036036036036034,,,3.0,72.0,68.0,,100.0,20.0,20.0,10.502083126694439,0.8057902621620864,,,0.0,27.97320146139873,23.07596151842865,,0.0,0.0,0.0
heuristic,5,0.0,93.4,48.72,100.0,0.0,0.0,100.0,100.0,1292.7895,100.0,20.0,20.0,2.1837467801922466,2.4762875438850003,0.0,0.0,0.0,0.0,0.0,91.6967829315729,0.0,0.0,0.0
heuristic,5,0.005,89.85,37.373238703861695,100.0,0.0,1.4,100.0,100.0,1448.724725922766,100.0,20.0,20.0,2.747726332806817,8.898172409065303,0.0,0.0,0.894427190999916,0.0,0.0,162.25339849359625,0.0,0.0,0.0
heuristic,5,0.01,80.65,23.97053497840974,100.0,0.0,2.4,100.0,100.0,1532.7788004318052,100.0,20.0,20.0,4.403833557254405,8.615930405104265,0.0,0.0,0.5477225575051661,0.0,0.0,95.30535492543447,0.0,0.0,0.0
heuristic,5,0.05,30.8,1.4032419071160338,,,5.0,94.0,91.0,,100.0,20.0,20.0,13.16885530332838,2.256526036584266,,,0.0,8.215838362577491,15.165750888103101,,0.0,0.0,0.0
heuristic,10,0.0,100.0,97.67999999999999,100.0,0.0,0.0,100.0,100.0,445.58950000000004,100.0,20.0,20.0,0.0,0.6300793600809325,0.0,0.0,0.0,0.0,0.0,12.601587201618695,0.0,0.0,0.0
heuristic,10,0.005,100.0,87.92811545024651,100.0,0.0,3.4,100.0,100.0,640.6271909950696,100.0,20.0,20.0,0.0,6.728379842730061,0.0,0.0,1.51657508881031,0.0,0.0,134.56759685460122,0.0,0.0,0.0
heuristic,10,0.01,98.85,73.73430836613888,100.0,0.0,5.8,100.0,100.0,901.5033326772225,100.0,20.0,20.0,1.1937336386313313,13.783309189802095,0.0,0.0,0.8366600265340756,0.0,0.0,257.315162021676,0.0,0.0,0.0
heuristic,10,0.05,46.85,6.8826483525703255,100.0,0.0,9.6,93.0,98.0,1357.0808918952932,100.0,20.0,20.0,19.818394233640625,9.13744285541221,0.0,0.0,0.547722557505166,10.954451150103322,4.472135954999579,137.8199704539444,0.0,0.0,0.0
neuro,1,0.0,23.95,8.4,100.0,0.0,0.0,100.0,51.00000000000001,587.6895,100.0,20.0,20.0,0.8366600265340753,6.6932802122726045,0.0,0.0,0.0,0.0,6.519202405202653,164.98674189158348,0.0,0.0,0.0
neuro,1,0.005,19.1,6.036363636363637,100.0,0.0,0.6,100.0,44.0,651.6895,100.0,20.0,20.0,5.630830311774632,7.556290138762344,0.0,0.0,0.5477225575051661,0.0,12.942179105544785,63.63961030678928,0.0,0.0,0.0
neuro,1,0.01,17.7,6.036363636363637,100.0,0.0,0.6,90.0,41.0,651.6895,100.0,20.0,20.0,8.3054951688626,7.556290138762344,0.0,0.0,0.5477225575051661,22.360679774997898,17.81852968120546,63.63961030678928,0.0,0.0,0.0
neuro,1,0.05,2.85,0.0,,,1.0,29.0,16.0,,100.0,20.0,20.0,2.934706118165838,0.0,,,0.0,24.341322889276174,12.449899597988733,,0.0,0.0,0.0
neuro,3,0.0,67.3,20.333333333333336,100.0,0.0,0.0,100.0,100.0,1338.5228333333332,100.0,20.0,20.0,1.9316443772081844,4.966554808583781,0.0,0.0,0.0,0.0,0.0,137.9341630392316,0.0,0.0,0.0
neuro,3,0.005,53.95,17.74712161646969,100.0,0.0,0.8,100.0,97.0,1115.7470676706062,100.0,20.0,20.0,7.521635460456722,6.109534281284392,0.0,0.0,0.4472135954999579,0.0,4.47213595499958,151.15081286116165,0.0,0.0,0.0
neuro,3,0.01,48.9,16.747855863656937,100.0,0.0,1.4,100.0,94.0,1027.2323827268613,100.0,20.0,20.0,6.097130472607586,6.870643013852705,0.0,0.0,0.5477225575051661,0.0,4.183300132670378,121.96865706184796,0.0,0.0,0.0
neuro,3,0.05,15.5,2.2417263201576927,,,3.0,89.0,51.0,,100.0,20.0,20.0,4.458138625031752,2.435943788826318,,,0.0,17.464249196572982,9.617692030835673,,0.0,0.0,0.0
neuro,5,0.0,87.4,57.120000000000005,100.0,0.0,0.0,100.0,100.0,1004.7895000000001,100.0,20.0,20.0,8.871654298945602,10.887240238003388,0.0,0.0,0.0,0.0,0.0,394.79526339610504,0.0,0.0,0.0
neuro,5,0.005,78.05,46.74813054101673,100.0,0.0,1.6,100.0,100.0,1025.2268891796652,100.0,20.0,20.0,9.264178322981483,9.251321279165804,0.0,0.0,1.3416407864998738,0.0,0.0,47.16008872954091,0.0,0.0,0.0
neuro,5,0.01,76.5,45.11233299787784,100.0,0.0,1.8,100.0,100.0,1026.9428400424429,100.0,20.0,20.0,11.51493595292653,9.906147301016649,0.0,0.0,1.3038404810405297,0.0,0.0,99.37346910567004,0.0,0.0,0.0
neuro,5,0.05,34.4,10.511060366048744,100.0,0.0,4.8,96.0,74.0,1454.6111867469879,100.0,20.0,20.0,21.02498513673672,14.662852802987127,,,0.44721359549995804,8.94427190999916,24.849547279578356,,0.0,0.0,0.0
